taxon	worms_id	worms_scientific_name	worms_is_terrestrial	worms_is_freshwater	worms_is_brackish	worms_is_marine	worms_lsid	worms_url
Cylichna grimaldii Dautzenberg, 1891	224558	Cylichna grimaldii	False	False		True	urn:lsid:marinespecies.org:taxname:224558	http://www.marinespecies.org/aphia.php?p=taxdetails&id=224558
Trichamathina nobilis (Adams, 1867)	576326	Trichamathina nobilis			True	True	urn:lsid:marinespecies.org:taxname:576326	http://www.marinespecies.org/aphia.php?p=taxdetails&id=576326
Sportella cf. donaciformis, Deshayes	138519	Sportella				True	urn:lsid:marinespecies.org:taxname:138519	http://www.marinespecies.org/aphia.php?p=taxdetails&id=138519
Epitonium tiberii (de Boury, 1890)	139735	Epitonium tiberii				True	urn:lsid:marinespecies.org:taxname:139735	http://www.marinespecies.org/aphia.php?p=taxdetails&id=139735
Aethra scruposa  (Linnaeus, 1764)	440254	Aethra scruposa				True	urn:lsid:marinespecies.org:taxname:440254	http://www.marinespecies.org/aphia.php?p=taxdetails&id=440254
Stellaster squamulosus (Studer, 1884)	368859	Stellaster squamulosus	False	False	False	True	urn:lsid:marinespecies.org:taxname:368859	http://www.marinespecies.org/aphia.php?p=taxdetails&id=368859
Mitra fastigium Reeve, 1845	590677	Mitra fastigium	False	False	False	True	urn:lsid:marinespecies.org:taxname:590677	http://www.marinespecies.org/aphia.php?p=taxdetails&id=590677
Conus arenatus var. aequipunctata Dautzenberg, 1937	431919	Conus arenatus var. aequipunctata				True	urn:lsid:marinespecies.org:taxname:431919	http://www.marinespecies.org/aphia.php?p=taxdetails&id=431919
Leiosolenus obesus (Philippi, 1847)	506072	Leiosolenus obesus				True	urn:lsid:marinespecies.org:taxname:506072	http://www.marinespecies.org/aphia.php?p=taxdetails&id=506072
Corophium grossipes (Templeton, 1836)	489363	Corophium grossipes				True	urn:lsid:marinespecies.org:taxname:489363	http://www.marinespecies.org/aphia.php?p=taxdetails&id=489363
Zebrasoma desjardini Bennett, 1828	219682	Zebrasoma desjardini		False	False	True	urn:lsid:marinespecies.org:taxname:219682	http://www.marinespecies.org/aphia.php?p=taxdetails&id=219682
Calanus robustior Giesbrecht, 1888	349539	Calanus robustior	False	False	False	True	urn:lsid:marinespecies.org:taxname:349539	http://www.marinespecies.org/aphia.php?p=taxdetails&id=349539
Chaperiopsis patulosa (Waters, 1904)	173492	Chaperiopsis patulosa	False	False	False	True	urn:lsid:marinespecies.org:taxname:173492	http://www.marinespecies.org/aphia.php?p=taxdetails&id=173492
Diastylis rathkei (Kroyer, 1837)	110487	Diastylis rathkei	False	False	True	True	urn:lsid:marinespecies.org:taxname:110487	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110487
Botrynema ellinorae (Hartlaub, 1909)	117616	Botrynema ellinorae				True	urn:lsid:marinespecies.org:taxname:117616	http://www.marinespecies.org/aphia.php?p=taxdetails&id=117616
Chiton corallinus (Risso, 1826)	843583	Chiton corallinus	False	False	False	True	urn:lsid:marinespecies.org:taxname:843583	http://www.marinespecies.org/aphia.php?p=taxdetails&id=843583
Ctena eburnea (Gmelin, 1791)	225597	Ctena eburnea				True	urn:lsid:marinespecies.org:taxname:225597	http://www.marinespecies.org/aphia.php?p=taxdetails&id=225597
Tectus mauritianus (Gmelin, 1791)	216325	Tectus mauritianus				True	urn:lsid:marinespecies.org:taxname:216325	http://www.marinespecies.org/aphia.php?p=taxdetails&id=216325
Pelecanus conspicillatus Temminck, 1824	343934	Pelecanus conspicillatus				True	urn:lsid:marinespecies.org:taxname:343934	http://www.marinespecies.org/aphia.php?p=taxdetails&id=343934
Bathyporeia pelagica (Spence Bate, 1856)	103066	Bathyporeia pelagica	False	False	False	True	urn:lsid:marinespecies.org:taxname:103066	http://www.marinespecies.org/aphia.php?p=taxdetails&id=103066
Bursa leo Shikama, 1964	476649	Bursa leo				True	urn:lsid:marinespecies.org:taxname:476649	http://www.marinespecies.org/aphia.php?p=taxdetails&id=476649
Pilumnoides perlatus (Poeppig, 1836)	148463	Pilumnoides perlatus				True	urn:lsid:marinespecies.org:taxname:148463	http://www.marinespecies.org/aphia.php?p=taxdetails&id=148463
Sciaena umbra  Linnaeus, 1758	127010	Sciaena umbra	False	False	True	True	urn:lsid:marinespecies.org:taxname:127010	http://www.marinespecies.org/aphia.php?p=taxdetails&id=127010
Rhinobatos rhinobatos (Linnaeus, 1758)	105898	Rhinobatos rhinobatos	False	False	True	True	urn:lsid:marinespecies.org:taxname:105898	http://www.marinespecies.org/aphia.php?p=taxdetails&id=105898
Eusirus bouvieri Chevreux, 1911	237741	Eusirus bouvieri				True	urn:lsid:marinespecies.org:taxname:237741	http://www.marinespecies.org/aphia.php?p=taxdetails&id=237741
Paradoxostoma simile Müller, 1894	128349	Paradoxostoma simile	False	False		True	urn:lsid:marinespecies.org:taxname:128349	http://www.marinespecies.org/aphia.php?p=taxdetails&id=128349
Psolidium sp.	123505	Psolidium				True	urn:lsid:marinespecies.org:taxname:123505	http://www.marinespecies.org/aphia.php?p=taxdetails&id=123505
Puffinus huttoni Mathews, 1912	225901	Puffinus huttoni				True	urn:lsid:marinespecies.org:taxname:225901	http://www.marinespecies.org/aphia.php?p=taxdetails&id=225901
Crucibulum striatum Say, 1824	160233	Crucibulum striatum				True	urn:lsid:marinespecies.org:taxname:160233	http://www.marinespecies.org/aphia.php?p=taxdetails&id=160233
Fenestrulina Jullien, 1888	110941	Fenestrulina				True	urn:lsid:marinespecies.org:taxname:110941	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110941
Megaceryle alcyon (Linnaeus, 1758)	159001	Megaceryle alcyon	True	True	True	True	urn:lsid:marinespecies.org:taxname:159001	http://www.marinespecies.org/aphia.php?p=taxdetails&id=159001
Carcharhinus brachyurus  (Günther, 1870)	217341	Carcharhinus brachyurus	False	False	True	True	urn:lsid:marinespecies.org:taxname:217341	http://www.marinespecies.org/aphia.php?p=taxdetails&id=217341
Erosaria cernica Sowerby, 1870	527781	Erosaria cernica	False	False	False	True	urn:lsid:marinespecies.org:taxname:527781	http://www.marinespecies.org/aphia.php?p=taxdetails&id=527781
Aethia pygmaea (Gmelin, 1789)	344017	Aethia pygmaea				True	urn:lsid:marinespecies.org:taxname:344017	http://www.marinespecies.org/aphia.php?p=taxdetails&id=344017
Thyca crystallina (Gould, 1846)	221112	Thyca crystallina				True	urn:lsid:marinespecies.org:taxname:221112	http://www.marinespecies.org/aphia.php?p=taxdetails&id=221112
Acanthochitona jugotenuis Kaas, 1979	386496	Acanthochitona jugotenuis				True	urn:lsid:marinespecies.org:taxname:386496	http://www.marinespecies.org/aphia.php?p=taxdetails&id=386496
Palinurus vulgaris Latreille, 1803	383021	Palinurus vulgaris					urn:lsid:marinespecies.org:taxname:383021	http://www.marinespecies.org/aphia.php?p=taxdetails&id=383021
Modulus obliquus Adams	987311	Modulus obliquus				True	urn:lsid:marinespecies.org:taxname:987311	http://www.marinespecies.org/aphia.php?p=taxdetails&id=987311
Littorina sitkana Philippi	445754	Littorina sitkana				True	urn:lsid:marinespecies.org:taxname:445754	http://www.marinespecies.org/aphia.php?p=taxdetails&id=445754
Liljeborgia cryptothrix d'Udekem d'Acoz, 2008	384593	Liljeborgia cryptothrix	False	False	False	True	urn:lsid:marinespecies.org:taxname:384593	http://www.marinespecies.org/aphia.php?p=taxdetails&id=384593
Porella saccata (Busk, 1856)	1036398	Porella saccata				True	urn:lsid:marinespecies.org:taxname:1036398	http://www.marinespecies.org/aphia.php?p=taxdetails&id=1036398
Marginella philippinarium Redfield, 1848	474731	Marginella philippinarium				True	urn:lsid:marinespecies.org:taxname:474731	http://www.marinespecies.org/aphia.php?p=taxdetails&id=474731
Rhacostoma atlanticum Agassiz, 1850	156967	Rhacostoma atlanticum	False	False	False	True	urn:lsid:marinespecies.org:taxname:156967	http://www.marinespecies.org/aphia.php?p=taxdetails&id=156967
Alebion carchariae Kroyer, 1863	135818	Alebion carchariae	False	False	False	True	urn:lsid:marinespecies.org:taxname:135818	http://www.marinespecies.org/aphia.php?p=taxdetails&id=135818
Eutima mira Mc Crady, 1859	117516	Eutima mira	False	False	False	True	urn:lsid:marinespecies.org:taxname:117516	http://www.marinespecies.org/aphia.php?p=taxdetails&id=117516
Cantharidus lehmanni (Menke, 1843)	754162	Cantharidus lehmanni				True	urn:lsid:marinespecies.org:taxname:754162	http://www.marinespecies.org/aphia.php?p=taxdetails&id=754162
Daldorfia horrida  (Linnaeus, 1758)	220551	Daldorfia horrida				True	urn:lsid:marinespecies.org:taxname:220551	http://www.marinespecies.org/aphia.php?p=taxdetails&id=220551
Hexaplex cichoreum (Gmelin, 1791)	405870	Hexaplex cichoreum				True	urn:lsid:marinespecies.org:taxname:405870	http://www.marinespecies.org/aphia.php?p=taxdetails&id=405870
Pterocera bryonia (Gmelin, 1791)	215027	Pterocera bryonia				True	urn:lsid:marinespecies.org:taxname:215027	http://www.marinespecies.org/aphia.php?p=taxdetails&id=215027
Bittium incile Watson, 1897	139050	Bittium incile				True	urn:lsid:marinespecies.org:taxname:139050	http://www.marinespecies.org/aphia.php?p=taxdetails&id=139050
Distorsio reticulata (Roding, 1798)	476705	Distorsio reticulata				True	urn:lsid:marinespecies.org:taxname:476705	http://www.marinespecies.org/aphia.php?p=taxdetails&id=476705
Actinopyga lecanora (Jaeger, 1833)	208952	Actinopyga lecanora	False	False	False	True	urn:lsid:marinespecies.org:taxname:208952	http://www.marinespecies.org/aphia.php?p=taxdetails&id=208952
Dentiovula azumai (Cate, 1970)	430785	Dentiovula azumai				True	urn:lsid:marinespecies.org:taxname:430785	http://www.marinespecies.org/aphia.php?p=taxdetails&id=430785
Trivia multilirata Sowerby II, 1870	141745	Trivia multilirata				True	urn:lsid:marinespecies.org:taxname:141745	http://www.marinespecies.org/aphia.php?p=taxdetails&id=141745
Domiporta granatina (Lamarck, 1811)	719038	Domiporta granatina	False	False	False	True	urn:lsid:marinespecies.org:taxname:719038	http://www.marinespecies.org/aphia.php?p=taxdetails&id=719038
Halecium annulatum Torrey, 1902	284708	Halecium annulatum	False			True	urn:lsid:marinespecies.org:taxname:284708	http://www.marinespecies.org/aphia.php?p=taxdetails&id=284708
Melania pallida Gould	749234	Melania pallida				True	urn:lsid:marinespecies.org:taxname:749234	http://www.marinespecies.org/aphia.php?p=taxdetails&id=749234
Euphausia longirostris  Hansen, 1908	221053	Euphausia longirostris				True	urn:lsid:marinespecies.org:taxname:221053	http://www.marinespecies.org/aphia.php?p=taxdetails&id=221053
Alvania marioni Fasulo & Gaglini, 1987	238098	Alvania marioni				True	urn:lsid:marinespecies.org:taxname:238098	http://www.marinespecies.org/aphia.php?p=taxdetails&id=238098
Littorina keenae Rosewater, 1978	445651	Littorina keenae				True	urn:lsid:marinespecies.org:taxname:445651	http://www.marinespecies.org/aphia.php?p=taxdetails&id=445651
Cantrainea yoyottei Vilvens, 2001	458555	Cantrainea yoyottei				True	urn:lsid:marinespecies.org:taxname:458555	http://www.marinespecies.org/aphia.php?p=taxdetails&id=458555
Euphysilla pyramidata Kramp, 1955	221089	Euphysilla pyramidata	False	False	False	True	urn:lsid:marinespecies.org:taxname:221089	http://www.marinespecies.org/aphia.php?p=taxdetails&id=221089
Polyplumaria billardi Bedot, 1921	117826	Polyplumaria billardi				True	urn:lsid:marinespecies.org:taxname:117826	http://www.marinespecies.org/aphia.php?p=taxdetails&id=117826
Cryptoconchus porosus (De Blainville, 1815)	220211	Cryptoconchus porosus				True	urn:lsid:marinespecies.org:taxname:220211	http://www.marinespecies.org/aphia.php?p=taxdetails&id=220211
Caecum veracruzanum de Folin, 1870	545118	Caecum veracruzanum				True	urn:lsid:marinespecies.org:taxname:545118	http://www.marinespecies.org/aphia.php?p=taxdetails&id=545118
Mopalia seta Jakovleva, 1952	386358	Mopalia seta				True	urn:lsid:marinespecies.org:taxname:386358	http://www.marinespecies.org/aphia.php?p=taxdetails&id=386358
Tricolia canarica Nordsieck, 1973	750597	Tricolia canarica				True	urn:lsid:marinespecies.org:taxname:750597	http://www.marinespecies.org/aphia.php?p=taxdetails&id=750597
Hastula cernohorskyi Burch, 1965	447319	Hastula cernohorskyi				True	urn:lsid:marinespecies.org:taxname:447319	http://www.marinespecies.org/aphia.php?p=taxdetails&id=447319
Calathura brachiata (Stimpson, 1853)	118497	Calathura brachiata	False	False	False	True	urn:lsid:marinespecies.org:taxname:118497	http://www.marinespecies.org/aphia.php?p=taxdetails&id=118497
Hanleya hanleyi (Bean & Thorpe, 1844)	140082	Hanleya hanleyi	False	False	False	True	urn:lsid:marinespecies.org:taxname:140082	http://www.marinespecies.org/aphia.php?p=taxdetails&id=140082
Neolepton obliquatum Chaster, 1897	152948	Neolepton obliquatum				True	urn:lsid:marinespecies.org:taxname:152948	http://www.marinespecies.org/aphia.php?p=taxdetails&id=152948
Callista chione (Linnaeus, 1758)	141906	Callista chione				True	urn:lsid:marinespecies.org:taxname:141906	http://www.marinespecies.org/aphia.php?p=taxdetails&id=141906
